                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9009,                 3.7382,                 1.7626,                0.00463,                0.43651,                0.21711,                0.16867,                 1.2363,                 3.4194,                  1.293,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.4018,                  2.937,                 1.3517,                0.91467,                0.31032,                0.58542,                0.38863,                 1.0538,                 2.7132,                 1.0781,             0.00018485,             0.00018485,             0.00018485
                      3,                 1.1845,                 1.5727,                 1.1229,                0.94841,                0.07098,                0.62377,                0.46691,                 1.0196,                    2.6,                 1.0132,             0.00028297,             0.00028297,             0.00028297
                      4,                 1.0622,                  1.316,                 1.0432,                0.90869,                0.10746,                 0.5434,                0.37722,                 1.1615,                 2.8639,                 1.1689,              0.0003801,              0.0003801,              0.0003801
                      5,                  1.007,                 1.1769,                 1.0148,                0.96096,                0.27028,                0.65848,                0.49829,                 1.0045,                  2.553,                 1.0209,             0.00047624,             0.00047624,             0.00047624
                      6,                 1.0021,                 1.1087,                0.99691,                0.90918,                0.36605,                0.60926,                0.45221,                 1.0286,                 2.4829,                 1.0486,             0.00057139,             0.00057139,             0.00057139
                      7,                 0.9619,                 1.0718,                  0.994,                0.93936,                0.43825,                0.62938,                0.49888,                0.96988,                 2.2106,                 1.0325,             0.00066555,             0.00066555,             0.00066555
                      8,                0.95722,                 1.0195,                0.98451,                0.94484,                0.58153,                0.82305,                0.64986,                0.89657,                 1.8131,                0.91673,             0.00075872,             0.00075872,             0.00075872
                      9,                0.93257,                 1.0003,                0.98272,                0.93359,                0.54928,                0.71796,                0.55004,                0.94703,                 1.8605,                0.98339,              0.0008509,              0.0008509,              0.0008509
                     10,                0.95223,                0.97618,                 1.0013,                0.96064,                 0.4326,                0.72213,                0.56594,                 0.9157,                 1.9291,                0.94555,             0.00094208,             0.00094208,             0.00094208
                     11,                0.98806,                0.96812,                  1.007,                0.92409,                0.51401,                0.71982,                0.50917,                 1.0943,                  2.009,                 1.0314,              0.0010323,              0.0010323,              0.0010323
                     12,                0.92426,                0.91017,                0.99433,                0.89338,                0.56352,                0.71642,                0.53009,                 1.1854,                 1.7911,                0.98466,              0.0011215,              0.0011215,              0.0011215
                     13,                0.92273,                0.89834,                0.97042,                0.78865,                0.57937,                 0.6533,                0.39577,                 1.5053,                  1.579,                 1.1719,              0.0012097,              0.0012097,              0.0012097
                     14,                0.93867,                0.90824,                0.99834,                0.76716,                 0.8456,                0.82207,                0.54681,                 1.4039,                 1.2582,                 1.1028,              0.0012969,              0.0012969,              0.0012969
                     15,                0.93999,                 0.8331,                0.98561,                0.56037,                0.68759,                0.67662,                0.38552,                 1.8274,                 1.2628,                 1.2211,                0.00133,                0.00133,                0.00133
                     16,                 0.9005,                0.80618,                0.98163,                0.73743,                 0.9228,                 0.7952,                0.53597,                 1.2943,                  1.115,                 1.0615,                0.00133,                0.00133,                0.00133
                     17,                0.87677,                 0.7688,                0.97042,                0.74392,                0.66434,                0.75852,                0.54968,                 1.0667,                 1.1853,                  0.997,              0.0013229,              0.0013229,              0.0013229
                     18,                 0.8793,                0.76858,                0.96746,                0.62464,                0.77172,                0.70576,                0.54267,                0.94604,                 1.1224,                0.98543,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.0337,                0.81219,                 1.0151,                0.86933,                0.51082,                0.63186,                0.43591,                 1.1071,                 1.2406,                 1.0051,              0.0013087,              0.0013087,              0.0013087
                     20,                0.94547,                0.78724,                 0.9832,                0.82604,                0.57512,                0.69493,                0.50112,                0.94975,                 1.1272,                0.92822,              0.0013017,              0.0013017,              0.0013017
                     21,                0.90149,                 0.7496,                0.95766,                 0.6252,                0.76458,                0.73258,                0.47357,                 1.1875,                 1.2406,                 1.1431,              0.0012946,              0.0012946,              0.0012946
                     22,                0.88686,                0.71987,                0.97891,                0.91682,                0.74747,                0.78697,                 0.5945,                 0.9656,                0.87925,                0.93447,              0.0012875,              0.0012875,              0.0012875
                     23,                0.82143,                0.68174,                0.93991,                0.79773,                0.75469,                0.83765,                0.65433,                0.86409,                 1.2192,                0.96658,              0.0012805,              0.0012805,              0.0012805
                     24,                0.83511,                0.65892,                0.95281,                0.72771,                0.80104,                  0.919,                0.73369,                0.85465,                 1.1346,                0.93866,              0.0012734,              0.0012734,              0.0012734
                     25,                0.84827,                0.65635,                0.96045,                0.93324,                0.77247,                 0.9026,                0.73869,                0.84849,                0.96463,                 0.9414,              0.0012663,              0.0012663,              0.0012663
                     26,                0.86157,                0.66128,                0.97037,                0.91231,                0.81836,                0.95578,                0.75186,                0.79318,                0.77699,                0.88051,              0.0012592,              0.0012592,              0.0012592
                     27,                0.83153,                0.63727,                 0.9448,                0.94958,                0.90548,                0.94091,                0.71802,                0.91414,                0.74895,                0.90714,              0.0012522,              0.0012522,              0.0012522
                     28,                0.86184,                0.66024,                0.96495,                0.93222,                 0.9218,                0.95073,                0.76091,                0.76693,                0.69075,                0.85591,              0.0012451,              0.0012451,              0.0012451
                     29,                0.79408,                 0.6199,                 0.9595,                0.87093,                0.86206,                0.87779,                0.71411,                 0.8339,                0.77358,                 0.9074,               0.001238,               0.001238,               0.001238
                     30,                0.79353,                0.60756,                0.95235,                0.91688,                  0.875,                0.94402,                0.75254,                0.77662,                0.69132,                0.95963,              0.0012309,              0.0012309,              0.0012309
                     31,                 0.7855,                0.60544,                0.94458,                0.92563,                0.97502,                0.97528,                0.74293,                 1.0162,                 0.6702,                0.94957,              0.0012239,              0.0012239,              0.0012239
                     32,                0.80442,                0.61226,                0.94897,                0.80883,                0.93701,                0.89214,                0.69998,                0.80858,                0.73818,                0.86011,              0.0012168,              0.0012168,              0.0012168
                     33,                0.73882,                0.57222,                0.93071,                0.92276,                0.96104,                0.97037,                0.78346,                0.72936,                0.70558,                0.87041,              0.0012097,              0.0012097,              0.0012097
                     34,                0.76056,                0.56088,                0.94061,                0.89897,                0.97563,                0.96813,                 0.7771,                0.72791,                0.60786,                0.86026,              0.0012026,              0.0012026,              0.0012026
                     35,                0.79046,                0.56246,                0.93743,                0.93509,                0.94805,                0.96718,                0.76363,                0.79358,                0.60327,                0.87726,              0.0011956,              0.0011956,              0.0011956
                     36,                0.79055,                0.59237,                0.94746,                0.94434,                0.97925,                0.97376,                0.78857,                0.82733,                0.56914,                0.87322,              0.0011885,              0.0011885,              0.0011885
                     37,                0.75254,                0.55889,                0.93517,                0.91945,                0.93648,                0.96375,                0.77006,                0.91885,                 0.6997,                0.90881,              0.0011814,              0.0011814,              0.0011814
                     38,                0.77479,                0.55671,                0.94048,                0.77265,                0.91618,                0.82864,                0.69508,                0.73459,                0.71342,                0.88505,              0.0011744,              0.0011744,              0.0011744
                     39,                0.73161,                0.52824,                0.92406,                0.95003,                0.93506,                0.96449,                0.81869,                0.75877,                0.60018,                 0.8873,              0.0011673,              0.0011673,              0.0011673
                     40,                0.73081,                0.52999,                0.93329,                0.94219,                0.93006,                 0.9645,                0.70429,                 1.2175,                0.66713,                0.98124,              0.0011602,              0.0011602,              0.0011602
                     41,                0.74743,                0.53428,                0.93303,                0.94781,                0.94127,                0.95995,                0.66301,                 1.3082,                0.65194,                 0.9753,              0.0011531,              0.0011531,              0.0011531
                     42,                0.74718,                0.53009,                0.93567,                0.89013,                0.98435,                0.96168,                0.67546,                 1.2026,                0.69863,                0.94237,              0.0011461,              0.0011461,              0.0011461
                     43,                0.70927,                0.50358,                0.91576,                0.93113,                0.99625,                0.97322,                0.78832,                0.71589,                0.50722,                0.86893,               0.001139,               0.001139,               0.001139
                     44,                0.72699,                0.52002,                0.92161,                0.87956,                0.91648,                0.97547,                0.79625,                 0.7038,                0.53764,                0.85205,              0.0011319,              0.0011319,              0.0011319
                     45,                0.73541,                0.50755,                0.92592,                0.93454,                0.95828,                0.97593,                0.78773,                0.74296,                0.55235,                 0.8864,              0.0011248,              0.0011248,              0.0011248
                     46,                0.68526,                 0.5214,                0.91359,                 0.9457,                0.98007,                 0.9708,                0.77226,                 0.7802,                 0.6165,                0.89982,              0.0011178,              0.0011178,              0.0011178
                     47,                0.75627,                0.54234,                0.92668,                0.92348,                0.88603,                0.96716,                0.75877,                0.89375,                0.68666,                0.91961,              0.0011107,              0.0011107,              0.0011107
                     48,                0.72592,                0.51362,                0.92948,                0.83981,                0.90874,                0.91295,                 0.6717,                 1.0809,                0.77393,                 1.0649,              0.0011036,              0.0011036,              0.0011036
                     49,                0.73768,                0.51719,                0.93258,                0.85104,                0.95523,                0.95094,                0.74207,                0.91587,                0.64494,                0.92138,              0.0010965,              0.0010965,              0.0010965
                     50,                0.83427,                0.54542,                0.93884,                0.90331,                0.93084,                0.97184,                0.80668,                 0.7177,                0.55434,                0.88205,              0.0010895,              0.0010895,              0.0010895
                     51,                0.71627,                0.50981,                 0.9277,                0.95367,                 0.9629,                0.97314,                0.82628,                 0.7111,                 0.5404,                0.85465,              0.0010824,              0.0010824,              0.0010824
                     52,                0.72674,                0.50309,                0.92061,                 0.9378,                0.80959,                0.91479,                0.79529,                0.66182,                0.55945,                0.85841,              0.0010753,              0.0010753,              0.0010753
                     53,                0.70234,                0.49458,                0.92012,                0.94609,                 0.9439,                0.97877,                0.81401,                0.72475,                0.52588,                0.85352,              0.0010682,              0.0010682,              0.0010682
                     54,                0.67264,                0.47678,                0.91427,                0.93951,                0.93037,                0.95001,                0.78051,                0.70001,                0.51031,                0.85376,              0.0010612,              0.0010612,              0.0010612
                     55,                0.66587,                0.49563,                0.90858,                0.89861,                0.92521,                0.96261,                0.78726,                0.66957,                0.53774,                0.83778,              0.0010541,              0.0010541,              0.0010541
                     56,                0.74717,                0.51442,                0.92637,                0.94573,                0.98268,                0.97468,                0.81715,                0.65691,                0.47672,                0.83916,               0.001047,               0.001047,               0.001047
                     57,                0.68439,                 0.4775,                0.91561,                0.94442,                0.98488,                0.97013,                0.81889,                0.77291,                0.50476,                0.86274,                0.00104,                0.00104,                0.00104
                     58,                0.71141,                0.49521,                0.92437,                0.94421,                0.96974,                0.96985,                0.81462,                0.67412,                0.50155,                0.84421,              0.0010329,              0.0010329,              0.0010329
                     59,                0.68607,                0.48916,                0.91588,                0.80807,                0.93527,                0.95932,                0.81245,                0.63532,                0.55836,                0.84416,              0.0010258,              0.0010258,              0.0010258
                     60,                 0.6648,                0.46812,                0.91307,                0.88195,                0.99564,                0.96769,                0.81625,                0.66205,                0.51195,                0.87223,              0.0010187,              0.0010187,              0.0010187
                     61,                0.71242,                0.48498,                0.91334,                0.92566,                0.98887,                0.97827,                0.83083,                0.67463,                 0.4808,                0.86951,              0.0010117,              0.0010117,              0.0010117
                     62,                0.66484,                0.47357,                0.90321,                0.95099,                0.96756,                0.97896,                0.83631,                0.67272,                0.49195,                0.86672,              0.0010046,              0.0010046,              0.0010046
                     63,                 0.6491,                0.45382,                0.89751,                0.92391,                0.97634,                0.97738,                0.82568,                0.65508,                0.47131,                0.85768,             0.00099751,             0.00099751,             0.00099751
                     64,                0.69571,                0.45526,                 0.9091,                0.92922,                0.92356,                0.96743,                0.78861,                0.81477,                0.50887,                0.85574,             0.00099044,             0.00099044,             0.00099044
                     65,                0.71164,                0.47415,                0.91562,                0.83264,                0.92772,                0.94526,                0.79624,                0.66701,                0.56073,                0.84462,             0.00098337,             0.00098337,             0.00098337
                     66,                0.70635,                0.47999,                0.92441,                0.78492,                 0.8945,                0.91813,                0.75503,                0.70614,                0.58746,                0.86668,             0.00097629,             0.00097629,             0.00097629
                     67,                0.66437,                   0.45,                0.91036,                0.93407,                0.96117,                0.96813,                 0.8039,                0.65484,                0.53294,                0.86005,             0.00096922,             0.00096922,             0.00096922
                     68,                0.65912,                 0.4501,                0.91451,                0.92534,                0.95242,                 0.9718,                0.83562,                 0.6604,                0.51659,                0.86066,             0.00096215,             0.00096215,             0.00096215
                     69,                 0.6756,                0.45074,                 0.9077,                0.94895,                0.92938,                0.96004,                0.83394,                0.64302,                0.49534,                0.86246,             0.00095507,             0.00095507,             0.00095507
                     70,                0.70615,                0.46762,                0.92287,                0.95079,                0.93801,                0.97726,                0.83961,                0.64814,                0.50049,                0.86925,               0.000948,               0.000948,               0.000948
                     71,                0.71574,                0.47403,                0.91784,                0.92025,                0.97709,                 0.9702,                0.82109,                0.65548,                0.47685,                0.86107,             0.00094093,             0.00094093,             0.00094093
                     72,                0.69279,                0.45372,                0.91964,                0.95045,                 0.9697,                0.96828,                0.81935,                0.68157,                0.48763,                0.85283,             0.00093385,             0.00093385,             0.00093385
                     73,                0.64953,                 0.4396,                0.91138,                0.91149,                0.91769,                0.95088,                0.80695,                0.64867,                0.50574,                0.84337,             0.00092678,             0.00092678,             0.00092678
                     74,                0.63643,                0.43321,                0.90326,                0.92843,                0.91616,                0.95923,                0.83146,                0.60908,                0.52293,                0.83463,              0.0009197,              0.0009197,              0.0009197
                     75,                0.62287,                0.42785,                0.90678,                0.95597,                0.98268,                0.96957,                0.82844,                0.63565,                0.46259,                0.84887,             0.00091263,             0.00091263,             0.00091263
                     76,                 0.6466,                0.44693,                0.91462,                0.92911,                0.97832,                0.97159,                0.81413,                0.62336,                0.45783,                0.84047,             0.00090556,             0.00090556,             0.00090556
                     77,                0.64002,                0.44018,                0.89421,                 0.9558,                0.95124,                0.96713,                0.84039,                0.62064,                0.46067,                0.84188,             0.00089848,             0.00089848,             0.00089848
                     78,                0.65445,                0.44288,                0.90271,                0.90935,                0.92415,                0.96568,                0.81444,                0.68692,                0.49479,                0.87674,             0.00089141,             0.00089141,             0.00089141
                     79,                0.61906,                0.42942,                0.90018,                0.92345,                0.93794,                0.97569,                0.81786,                0.70441,                0.49701,                0.88172,             0.00088434,             0.00088434,             0.00088434
                     80,                0.66045,                0.44229,                0.90502,                0.92431,                0.95997,                0.98106,                0.81448,                0.69351,                0.46405,                0.86126,             0.00087726,             0.00087726,             0.00087726
                     81,                0.65261,                0.45643,                 0.9037,                0.90828,                0.99048,                0.97316,                0.79551,                0.76972,                0.49082,                0.85964,             0.00087019,             0.00087019,             0.00087019
                     82,                0.67866,                0.45663,                0.90692,                 0.9338,                0.97127,                0.97745,                0.82323,                 0.6735,                0.45099,                0.85922,             0.00086312,             0.00086312,             0.00086312
                     83,                 0.6043,                0.41752,                0.88548,                0.95411,                0.99268,                0.97833,                0.82313,                0.67994,                0.43188,                0.83158,             0.00085604,             0.00085604,             0.00085604
