                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77903,                0.55765,                0.94291,                0.90006,                 0.9442,                0.95966,                0.80259,                0.65448,                0.54166,                0.84775,              0.0013328,              0.0013328,              0.0013328
                     37,                0.75117,                0.54863,                0.93754,                0.95566,                0.98222,                0.98129,                0.84367,                 0.6384,                0.51086,                0.81511,                0.00133,                0.00133,                0.00133
                     38,                0.76975,                 0.5519,                0.94715,                0.90533,                0.98384,                0.98237,                0.81102,                0.68091,                0.56643,                0.86121,              0.0013271,              0.0013271,              0.0013271
                     39,                0.77643,                0.54122,                0.94362,                0.95472,                0.96813,                0.98015,                0.82675,                0.66147,                0.54854,                0.85823,              0.0013243,              0.0013243,              0.0013243
                     40,                 0.8038,                0.57081,                0.95265,                 0.9463,                0.90115,                0.96123,                0.81062,                0.70603,                0.52386,                0.85688,              0.0013215,              0.0013215,              0.0013215
                     41,                0.76686,                0.54369,                0.94568,                0.92483,                0.97914,                0.96435,                0.67197,                 1.0845,                0.72831,                0.93483,              0.0013187,              0.0013187,              0.0013187
                     42,                0.77156,                0.55837,                0.94061,                0.94794,                0.92764,                0.94988,                0.80207,                0.63093,                0.55357,                0.82705,              0.0013158,              0.0013158,              0.0013158
                     43,                0.76487,                0.53054,                 0.9467,                0.92595,                0.92659,                0.94978,                0.79229,                0.73358,                 0.5193,                0.82847,               0.001313,               0.001313,               0.001313
                     44,                0.72728,                0.50472,                0.92314,                0.94746,                0.93579,                0.95368,                0.81924,                0.62662,                0.53712,                0.82029,              0.0013102,              0.0013102,              0.0013102
                     45,                0.71638,                0.51199,                0.92403,                0.92973,                0.86676,                0.91333,                0.77751,                0.60612,                0.55451,                0.82051,              0.0013073,              0.0013073,              0.0013073
                     46,                0.71893,                0.49506,                0.93404,                0.94798,                 0.9499,                0.97616,                 0.8176,                 0.6726,                0.56787,                0.82204,              0.0013045,              0.0013045,              0.0013045
                     47,                 0.7511,                0.52189,                 0.9364,                0.94625,                0.93529,                0.97289,                 0.7933,                0.66828,                0.55045,                0.83724,              0.0013017,              0.0013017,              0.0013017
                     48,                0.73776,                0.53119,                0.93515,                0.92887,                0.85565,                0.93427,                0.75259,                0.74086,                0.57308,                0.84821,              0.0012988,              0.0012988,              0.0012988
                     49,                0.72563,                0.52739,                0.93046,                0.93112,                0.90667,                 0.9665,                 0.8105,                0.60439,                0.49192,                0.82025,               0.001296,               0.001296,               0.001296
                     50,                0.69325,                0.49799,                0.92064,                0.95547,                0.93579,                0.93836,                0.81544,                0.59521,                0.55568,                0.81923,              0.0012932,              0.0012932,              0.0012932
                     51,                0.70144,                0.49737,                0.92581,                0.92819,                 0.9228,                0.95352,                0.81328,                 0.6135,                0.53346,                 0.8262,              0.0012904,              0.0012904,              0.0012904
                     52,                0.73559,                0.50813,                0.93509,                0.91796,                0.94012,                0.95124,                 0.8041,                0.62591,                  0.524,                0.83308,              0.0012875,              0.0012875,              0.0012875
                     53,                0.72101,                0.49564,                0.91222,                0.94898,                0.92875,                0.97265,                0.81671,                0.64272,                0.50681,                0.83565,              0.0012847,              0.0012847,              0.0012847
                     54,                0.68667,                0.49105,                0.92533,                0.96108,                0.93314,                0.98186,                0.83501,                0.72134,                0.51927,                0.82884,              0.0012819,              0.0012819,              0.0012819
                     55,                0.72707,                0.49334,                  0.933,                0.94031,                0.97335,                0.97399,                0.81129,                0.66164,                0.51736,                0.82639,               0.001279,               0.001279,               0.001279
                     56,                0.72307,                0.50245,                0.93479,                0.94416,                0.98933,                0.97484,                0.82779,                0.56626,                 0.5216,                 0.8138,              0.0012762,              0.0012762,              0.0012762
                     57,                 0.7107,                0.50765,                0.93055,                0.94273,                0.93459,                0.96425,                0.81173,                0.65871,                0.52625,                0.83038,              0.0012734,              0.0012734,              0.0012734
                     58,                0.73246,                0.49723,                0.93054,                0.94001,                0.93731,                 0.9459,                0.79889,                0.63218,                0.51045,                0.84378,              0.0012706,              0.0012706,              0.0012706
