                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75633,                0.54907,                0.92976,                0.92601,                0.98885,                0.96571,                0.81864,                0.65302,                 0.6651,                0.85993,              0.0011885,              0.0011885,              0.0011885
                     37,                0.72938,                 0.5456,                0.92756,                0.95173,                0.99567,                0.97163,                0.84919,                0.62135,                0.62291,                0.85792,              0.0011814,              0.0011814,              0.0011814
                     38,                0.74456,                0.55134,                0.93545,                0.93774,                0.97835,                0.97304,                0.82615,                0.64229,                0.63993,                0.87972,              0.0011744,              0.0011744,              0.0011744
                     39,                0.73692,                0.53094,                0.93378,                0.93935,                0.98753,                0.97378,                0.81751,                 0.6492,                0.66669,                0.84609,              0.0011673,              0.0011673,              0.0011673
                     40,                0.76369,                0.55224,                0.93757,                0.92439,                0.98413,                0.97531,                0.84054,                0.64555,                0.63582,                0.85148,              0.0011602,              0.0011602,              0.0011602
                     41,                0.73471,                 0.5189,                0.93434,                0.94488,                0.99567,                0.97608,                0.77679,                0.84496,                0.76788,                0.89517,              0.0011531,              0.0011531,              0.0011531
                     42,                0.73072,                0.52569,                  0.932,                0.94812,                0.97829,                0.97564,                0.83772,                 0.7155,                0.69968,                0.87616,              0.0011461,              0.0011461,              0.0011461
                     43,                0.77652,                0.52678,                0.94877,                0.94225,                0.92337,                0.95543,                0.73373,                  1.024,                0.75337,                0.90987,               0.001139,               0.001139,               0.001139
                     44,                0.72778,                0.50501,                0.92347,                0.94077,                0.91955,                0.95266,                0.80964,                0.76398,                 0.7363,                0.88031,              0.0011319,              0.0011319,              0.0011319
                     45,                0.72549,                0.50778,                0.91736,                0.94366,                0.94234,                0.95869,                0.80088,                 0.6691,                 0.7072,                0.85559,              0.0011248,              0.0011248,              0.0011248
                     46,                0.66846,                0.48241,                0.92048,                0.93574,                0.87973,                0.95513,                0.79995,                0.64968,                0.65889,                0.85874,              0.0011178,              0.0011178,              0.0011178
                     47,                0.70756,                    0.5,                0.92748,                0.92821,                0.93174,                0.97557,                 0.8361,                0.65457,                0.60713,                0.87157,              0.0011107,              0.0011107,              0.0011107
                     48,                0.69076,                0.50774,                0.92545,                  0.926,                0.82468,                0.94673,                0.79605,                0.63294,                0.71918,                0.86471,              0.0011036,              0.0011036,              0.0011036
                     49,                0.70345,                0.50845,                0.92342,                0.93388,                 0.9228,                0.94771,                0.81368,                0.62231,                0.67394,                0.83587,              0.0010965,              0.0010965,              0.0010965
                     50,                0.71035,                0.51033,                0.92327,                0.94072,                0.94444,                0.95162,                0.82067,                 0.6715,                0.72319,                 0.8836,              0.0010895,              0.0010895,              0.0010895
                     51,                0.71444,                0.51222,                0.93309,                0.90916,                0.97709,                0.97134,                0.81695,                0.64031,                0.62556,                0.85164,              0.0010824,              0.0010824,              0.0010824
                     52,                0.72034,                0.51908,                0.92923,                0.90679,                0.99134,                0.97938,                 0.8114,                0.74277,                0.64463,                0.86656,              0.0010753,              0.0010753,              0.0010753
                     53,                0.66533,                0.48065,                0.89566,                0.95432,                0.98324,                0.97953,                0.83027,                0.67974,                0.61762,                0.85604,              0.0010682,              0.0010682,              0.0010682
                     54,                0.66764,                0.49388,                0.91818,                0.95602,                0.99134,                0.97432,                0.85011,                0.62784,                0.63004,                0.84979,              0.0010612,              0.0010612,              0.0010612
                     55,                0.68352,                 0.4875,                0.92621,                0.93447,                0.97476,                0.96944,                0.83157,                0.62796,                0.63412,                0.84942,              0.0010541,              0.0010541,              0.0010541
                     56,                0.69814,                0.48992,                0.92379,                0.94402,                0.97403,                0.97558,                0.82561,                0.65568,                0.59859,                0.84189,               0.001047,               0.001047,               0.001047
                     57,                0.70917,                0.49171,                0.92623,                0.94774,                0.91847,                0.95068,                0.82342,                0.66689,                0.66359,                0.84767,                0.00104,                0.00104,                0.00104
                     58,                0.70159,                 0.4785,                0.92319,                0.95556,                0.99779,                0.97703,                0.85067,                0.63407,                0.60343,                0.86479,              0.0010329,              0.0010329,              0.0010329
                     59,                 0.6722,                0.47511,                0.92006,                0.91255,                0.98684,                0.97777,                0.83965,                 0.6152,                0.60518,                0.83878,              0.0010258,              0.0010258,              0.0010258
                     60,                 0.6745,                0.46149,                0.91932,                0.94313,                0.98834,                0.97041,                0.82133,                0.59781,                0.60404,                0.83305,              0.0010187,              0.0010187,              0.0010187
                     61,                 0.6547,                 0.4455,                0.91781,                0.95483,                0.98795,                0.97908,                0.84587,                0.60818,                0.58776,                0.84876,              0.0010117,              0.0010117,              0.0010117
                     62,                0.66886,                0.44464,                0.91239,                0.93654,                0.97737,                0.96631,                 0.8412,                0.62126,                0.57539,                0.83251,              0.0010046,              0.0010046,              0.0010046
                     63,                0.67841,                0.45022,                0.91222,                0.95918,                0.97128,                0.97698,                0.80453,                0.86099,                0.61157,                0.85878,             0.00099751,             0.00099751,             0.00099751
                     64,                0.67137,                0.45106,                0.90784,                0.94802,                0.97835,                0.97473,                0.83734,                0.63433,                0.59854,                0.82697,             0.00099044,             0.00099044,             0.00099044
                     65,                0.67216,                0.45024,                0.90689,                 0.9361,                0.99044,                0.97631,                0.86804,                0.57121,                0.60116,                0.83178,             0.00098337,             0.00098337,             0.00098337
                     66,                0.65845,                 0.4551,                0.91822,                0.95418,                0.99346,                0.97398,                0.83499,                 0.6585,                0.62441,                0.85309,             0.00097629,             0.00097629,             0.00097629
                     67,                0.65299,                0.44256,                0.91535,                 0.9534,                0.98843,                0.97688,                0.85065,                0.63481,                0.57321,                0.87811,             0.00096922,             0.00096922,             0.00096922
                     68,                 0.6488,                0.43849,                0.90588,                0.94847,                0.99567,                0.97526,                0.84039,                0.61611,                0.62468,                0.86247,             0.00096215,             0.00096215,             0.00096215
                     69,                0.64524,                0.44489,                 0.9105,                0.95564,                0.98613,                0.97236,                  0.828,                0.63519,                 0.6054,                0.85163,             0.00095507,             0.00095507,             0.00095507
                     70,                0.65668,                0.44012,                0.90395,                 0.9568,                0.99182,                0.97019,                0.81828,                0.63045,                0.59586,                 0.8556,               0.000948,               0.000948,               0.000948
                     71,                0.64837,                0.44643,                0.90024,                0.94278,                0.99567,                0.97638,                0.83716,                0.61838,                 0.6036,                0.85039,             0.00094093,             0.00094093,             0.00094093
                     72,                0.65323,                0.43963,                 0.9086,                0.93681,                0.99337,                0.97443,                0.81973,                0.64078,                0.63121,                0.85736,             0.00093385,             0.00093385,             0.00093385
                     73,                0.62787,                0.43124,                0.90105,                0.94511,                0.98028,                0.97598,                0.84946,                0.67632,                0.60306,                 0.8416,             0.00092678,             0.00092678,             0.00092678
                     74,                0.66596,                0.45862,                0.90483,                0.96003,                0.98477,                0.97732,                0.84575,                0.72043,                0.56988,                0.84556,              0.0009197,              0.0009197,              0.0009197
                     75,                0.62896,                0.43228,                0.90505,                0.89769,                      1,                0.97103,                0.84542,                0.59961,                0.57978,                 0.8484,             0.00091263,             0.00091263,             0.00091263
                     76,                 0.6034,                0.42832,                0.90222,                0.95318,                0.98529,                0.97408,                0.85692,                0.55277,                0.55032,                0.82879,             0.00090556,             0.00090556,             0.00090556
                     77,                0.59198,                0.42527,                0.89391,                0.94315,                0.98729,                0.97066,                0.83471,                0.60971,                0.65362,                0.86104,             0.00089848,             0.00089848,             0.00089848
                     78,                0.60284,                0.41947,                0.89126,                0.94872,                0.98146,                0.97611,                0.85399,                0.58867,                0.57896,                 0.8507,             0.00089141,             0.00089141,             0.00089141
                     79,                0.60226,                0.41536,                0.89289,                0.91079,                0.99161,                0.97553,                0.86426,                0.59879,                0.65246,                0.83852,             0.00088434,             0.00088434,             0.00088434
                     80,                0.63113,                0.42162,                0.89795,                0.93507,                 0.9775,                0.98012,                0.84971,                 0.5852,                0.54745,                0.81802,             0.00087726,             0.00087726,             0.00087726
                     81,                0.60966,                0.42389,                0.89559,                0.92036,                0.95448,                0.97533,                0.84293,                0.60981,                0.56816,                0.84483,             0.00087019,             0.00087019,             0.00087019
                     82,                0.59499,                0.41232,                0.88986,                0.92466,                0.97187,                 0.9737,                0.86154,                0.58116,                0.52854,                0.84518,             0.00086312,             0.00086312,             0.00086312
                     83,                0.61001,                0.41492,                0.89843,                0.94844,                0.98728,                0.97509,                0.85773,                0.59036,                0.58477,                0.85751,             0.00085604,             0.00085604,             0.00085604
                     84,                0.61789,                0.41265,                0.90344,                0.93254,                0.97448,                0.97588,                0.85541,                0.62137,                0.57913,                0.86342,             0.00084897,             0.00084897,             0.00084897
                     85,                0.63815,                0.42838,                0.90819,                0.95462,                0.97774,                0.97628,                0.86082,                0.64515,                 0.5758,                0.86456,              0.0008419,              0.0008419,              0.0008419
                     86,                0.62269,                 0.4151,                0.90753,                0.95752,                0.99013,                0.97622,                0.86017,                0.58277,                0.57028,                  0.832,             0.00083482,             0.00083482,             0.00083482
                     87,                0.60497,                0.40687,                0.89909,                0.94792,                0.99122,                0.97721,                0.87189,                0.58432,                0.56887,                0.84021,             0.00082775,             0.00082775,             0.00082775
                     88,                0.63415,                0.41147,                0.90244,                0.93541,                0.98306,                0.98127,                0.86929,                0.59493,                0.55232,                0.84544,             0.00082067,             0.00082067,             0.00082067
                     89,                 0.6092,                0.41357,                0.89582,                0.95229,                0.98703,                0.98213,                0.85342,                0.59612,                0.55093,                0.84105,              0.0008136,              0.0008136,              0.0008136
                     90,                0.58509,                0.39605,                0.89572,                0.94119,                0.97431,                0.97433,                 0.8525,                0.59059,                0.54702,                0.84294,             0.00080653,             0.00080653,             0.00080653
                     91,                0.59118,                0.40463,                0.90045,                  0.959,                0.97778,                0.97473,                 0.8447,                0.61923,                 0.5402,                0.82463,             0.00079945,             0.00079945,             0.00079945
