                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9256,                 3.7297,                 1.7599,                0.00358,                0.39322,                0.05846,                0.02875,                 1.4585,                 3.5048,                 1.4193,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.9206,                 3.7027,                 1.7539,                0.00486,                0.43651,                0.27364,                0.21194,                 1.2183,                 3.4177,                 1.2965,             9.9535e-05,             9.9535e-05,             9.9535e-05
                      3,                 1.5014,                 3.2729,                 1.4234,                0.01219,                0.88456,                0.55006,                0.39885,                0.95535,                 3.0337,                0.97842,             0.00015563,             0.00015563,             0.00015563
                      4,                 1.2343,                 2.1518,                 1.1724,                0.92648,                0.18182,                0.51819,                0.34471,                 1.0473,                  2.514,                 1.0239,             0.00021117,             0.00021117,             0.00021117
                      5,                  1.157,                 1.5839,                 1.1183,                0.41176,                 0.6443,                0.57571,                0.40716,                 1.0514,                 2.7915,                 1.0615,             0.00026613,             0.00026613,             0.00026613
                      6,                 1.0962,                 1.3789,                  1.063,                0.01084,                0.66955,                0.52742,                0.37595,                 1.1329,                 3.0281,                 1.1447,             0.00032054,             0.00032054,             0.00032054
                      7,                 1.0762,                 1.3149,                 1.0385,                0.95949,                 0.0939,                0.54335,                0.40589,                 1.1005,                 2.7239,                  1.104,             0.00037437,             0.00037437,             0.00037437
                      8,                 1.0248,                 1.1998,                 1.0061,                0.96958,                0.44125,                0.58428,                0.42403,                 1.2524,                 2.2732,                 1.0795,             0.00042764,             0.00042764,             0.00042764
                      9,                0.94867,                 1.1357,                 0.9935,                0.94295,                0.51579,                0.64155,                0.43381,                 1.2152,                 2.0968,                0.99624,             0.00048034,             0.00048034,             0.00048034
                     10,                 0.9316,                 1.0782,                0.99999,                0.92106,                0.57266,                0.75975,                0.56236,                  1.017,                  1.966,                0.98354,             0.00053248,             0.00053248,             0.00053248
                     11,                0.96323,                 1.0501,                0.98698,                0.92213,                0.50162,                0.69769,                0.50918,                 1.1304,                 2.2449,                0.95132,             0.00058405,             0.00058405,             0.00058405
                     12,                0.91596,                 1.0423,                0.98499,                0.94794,                0.54753,                0.67708,                 0.5365,                 1.0506,                 2.0274,                0.95706,             0.00063506,             0.00063506,             0.00063506
                     13,                0.86734,                0.97568,                0.96802,                0.92484,                0.62478,                0.80612,                0.60992,                0.91897,                 1.6064,                 0.9198,              0.0006855,              0.0006855,              0.0006855
                     14,                0.93069,                0.98515,                0.98113,                0.91651,                0.55762,                0.69375,                0.50137,                 1.0826,                 1.8323,                0.98243,             0.00073537,             0.00073537,             0.00073537
                     15,                0.91902,                0.95241,                0.98283,                0.75761,                0.54545,                0.57495,                0.35124,                 1.6748,                 1.9174,                 1.1701,             0.00078468,             0.00078468,             0.00078468
                     16,                0.91746,                0.95689,                0.97333,                0.77895,                0.51343,                0.66391,                0.44678,                 1.4434,                 2.0036,                 1.1278,             0.00083342,             0.00083342,             0.00083342
                     17,                0.89902,                0.92271,                0.97243,                0.76479,                0.64676,                0.77806,                0.49858,                 1.5801,                 1.8161,                  1.159,              0.0008816,              0.0008816,              0.0008816
                     18,                0.91395,                0.87337,                0.98056,                0.74379,                0.55844,                0.76059,                0.49159,                 1.5623,                 1.8058,                 1.1691,             0.00092921,             0.00092921,             0.00092921
                     19,                0.84644,                0.83462,                0.95505,                0.95925,                 0.3214,                0.53621,                0.36526,                 1.9368,                  2.267,                 1.4375,             0.00097626,             0.00097626,             0.00097626
                     20,                0.83302,                0.82703,                0.94688,                0.88864,                0.39058,                0.55699,                0.35741,                 1.7787,                 1.9183,                 1.4087,              0.0010227,              0.0010227,              0.0010227
                     21,                0.95095,                0.87178,                0.98701,                 0.8605,                0.37662,                0.55511,                0.42065,                 1.0476,                  1.971,                 0.9941,              0.0010686,              0.0010686,              0.0010686
                     22,                0.86109,                0.81442,                0.96008,                0.91402,                0.39126,                0.54348,                0.38169,                 1.4158,                 1.8284,                  1.081,               0.001114,               0.001114,               0.001114
                     23,                0.88488,                0.80927,                0.96591,                0.91714,                0.59307,                0.75689,                0.46315,                 1.4485,                 1.6695,                 1.0708,              0.0011588,              0.0011588,              0.0011588
                     24,                0.91533,                0.83947,                 0.9762,                0.92063,                0.49013,                0.69473,                0.50701,                 1.1871,                 1.8282,                 1.1066,               0.001203,               0.001203,               0.001203
